,DeviceId,Time,Parking_Status
48,['00-80-00-00-04-01-9f-d7'],2021-07-22T00:37:48.595372Z,1
49,['00-80-00-00-04-01-9f-d7'],2021-07-18T17:25:07.682998Z,0
50,['00-80-00-00-04-01-9f-d7'],2021-08-07T07:18:54.719674Z,0
51,['00-80-00-00-04-01-9f-d7'],2021-08-05T07:35:36.294385Z,1
52,['00-80-00-00-04-01-9f-d7'],2021-06-10T19:38:50.356235Z,1
53,['00-80-00-00-04-01-9f-d7'],2021-09-03T15:51:24.003579Z,0
54,['00-80-00-00-04-01-9f-d7'],2021-06-04T18:05:44.128576Z,0
55,['00-80-00-00-04-01-9f-d7'],2021-08-10T03:19:09.418034Z,1
56,['00-80-00-00-04-01-9f-d7'],2021-06-24T18:57:53.658827Z,0
57,['00-80-00-00-04-01-9f-d7'],2021-07-17T16:21:54.716030Z,0
58,['00-80-00-00-04-01-9f-d7'],2021-06-05T08:24:44.007609Z,0
59,['00-80-00-00-04-01-9f-d7'],2021-08-16T22:46:54.638514Z,0
60,['00-80-00-00-04-01-9f-d7'],2021-06-04T12:07:50.500137Z,0
61,['00-80-00-00-04-01-9f-d7'],2021-08-03T06:07:15.142357Z,1
62,['00-80-00-00-04-01-9f-d7'],2021-06-28T23:10:53.171194Z,0
63,['00-80-00-00-04-01-9f-d7'],2021-06-19T14:53:18.392692Z,0
64,['00-80-00-00-04-01-9f-d7'],2021-08-09T09:25:26.823064Z,1
65,['00-80-00-00-04-01-9f-d7'],2021-08-24T22:04:19.612060Z,0
66,['00-80-00-00-04-01-9f-d7'],2021-06-25T22:24:20.660020Z,0
67,['00-80-00-00-04-01-9f-d7'],2021-09-06T09:28:30.561303Z,1
68,['00-80-00-00-04-01-9f-d7'],2021-06-01T12:42:13.901633Z,0
69,['00-80-00-00-04-01-9f-d7'],2021-08-02T02:40:52.282297Z,1
70,['00-80-00-00-04-01-9f-d7'],2021-07-31T08:55:28.525682Z,0
71,['00-80-00-00-04-01-9f-d7'],2021-07-24T03:55:57.745705Z,0
72,['00-80-00-00-04-01-9f-d7'],2021-08-04T17:16:41.385193Z,0
73,['00-80-00-00-04-01-9f-d7'],2021-08-25T23:07:36.006916Z,0
74,['00-80-00-00-04-01-9f-d7'],2021-06-29T13:06:26.067940Z,0
75,['00-80-00-00-04-01-9f-d7'],2021-07-17T06:49:19.368942Z,0
76,['00-80-00-00-04-01-9f-d7'],2021-08-25T14:46:32.499906Z,0
77,['00-80-00-00-04-01-9f-d7'],2021-07-13T02:48:35.037733Z,1
78,['00-80-00-00-04-01-9f-d7'],2021-08-02T12:13:34.511130Z,0
79,['00-80-00-00-04-01-9f-d7'],2021-09-02T08:50:21.002788Z,1
80,['00-80-00-00-04-01-9f-d7'],2021-08-29T20:07:57.854886Z,0
81,['00-80-00-00-04-01-9f-d7'],2021-07-12T20:50:40.524375Z,0
82,['00-80-00-00-04-01-9f-d7'],2021-07-24T14:40:14.857429Z,0
83,['00-80-00-00-04-01-9f-d7'],2021-09-02T21:57:46.024614Z,0
84,['00-80-00-00-04-01-9f-d7'],2021-06-24T10:36:55.287401Z,1
85,['00-80-00-00-04-01-9f-d7'],2021-08-17T23:02:47.761848Z,0
86,['00-80-00-00-04-01-9f-d7'],2021-07-01T14:01:22.438615Z,0
87,['00-80-00-00-04-01-9f-d7'],2021-09-06T17:49:39.874047Z,1
88,['00-80-00-00-04-01-9f-d7'],2021-08-20T02:20:52.805040Z,1
89,['00-80-00-00-04-01-9f-d7'],2021-08-20T19:03:02.567128Z,0
90,['00-80-00-00-04-01-9f-d7'],2021-09-04T16:54:46.678967Z,0
91,['00-80-00-00-04-01-9f-d7'],2021-08-08T03:35:59.163939Z,0
92,['00-80-00-00-04-01-9f-d7'],2021-07-25T00:12:57.166565Z,0
93,['00-80-00-00-04-01-9f-d7'],2021-06-19T12:30:15.546037Z,0
94,['00-80-00-00-04-01-9f-d7'],2021-06-29T03:57:20.890144Z,1
95,['00-80-00-00-04-01-9f-d7'],2021-08-29T17:44:52.100306Z,0
96,['00-80-00-00-04-01-9f-d7'],2021-08-15T19:19:46.723785Z,0
97,['00-80-00-00-04-01-9f-d7'],2021-06-13T15:39:15.048491Z,0
98,['00-80-00-00-04-01-9f-d7'],2021-09-01T10:10:21.397328Z,1
99,['00-80-00-00-04-01-9f-d7'],2021-08-26T18:09:54.688475Z,0
100,['00-80-00-00-04-01-9f-d7'],2021-07-26T21:33:08.773621Z,0
101,['00-80-00-00-04-01-9f-d7'],2021-08-22T14:00:05.190310Z,0
102,['00-80-00-00-04-01-9f-d7'],2021-08-27T03:42:35.271343Z,1
103,['00-80-00-00-04-01-9f-d7'],2021-07-27T03:31:04.279138Z,1
104,['00-80-00-00-04-01-9f-d7'],2021-08-28T17:53:14.689489Z,0
105,['00-80-00-00-04-01-9f-d7'],2021-08-01T05:12:31.935870Z,0
106,['00-80-00-00-04-01-9f-d7'],2021-08-14T20:39:44.506524Z,0
107,['00-80-00-00-04-01-9f-d7'],2021-08-30T16:24:59.386519Z,0
108,['00-80-00-00-04-01-9f-d7'],2021-06-06T23:47:11.344946Z,0
109,['00-80-00-00-04-01-9f-d7'],2021-06-30T05:48:44.881272Z,1
110,['00-80-00-00-04-01-9f-d7'],2021-06-26T21:04:36.079504Z,0
111,['00-80-00-00-04-01-9f-d7'],2021-06-10T10:06:24.996644Z,0
112,['00-80-00-00-04-01-9f-d7'],2021-07-21T17:28:34.183302Z,1
113,['00-80-00-00-04-01-9f-d7'],2021-08-13T18:24:56.607495Z,0
114,['00-80-00-00-04-01-9f-d7'],2021-07-20T20:00:04.768732Z,1
115,['00-80-00-00-04-01-9f-d7'],2021-07-26T07:14:11.832504Z,1
116,['00-80-00-00-04-01-9f-d7'],2021-09-08T10:23:36.103899Z,1
117,['00-80-00-00-04-01-9f-d7'],2021-08-31T03:09:15.643692Z,1
118,['00-80-00-00-04-01-9f-d7'],2021-06-10T17:15:55.537012Z,1
119,['00-80-00-00-04-01-9f-d7'],2021-09-05T08:25:27.949538Z,1
120,['00-80-00-00-04-01-9f-d7'],2021-08-21T15:20:04.053032Z,0
121,['00-80-00-00-04-01-9f-d7'],2021-08-08T23:53:00.544631Z,0
122,['00-80-00-00-04-01-9f-d7'],2021-08-16T03:40:57.113359Z,1
123,['00-80-00-00-04-01-9f-d7'],2021-09-03T09:53:45.418773Z,1
124,['00-80-00-00-04-01-9f-d7'],2021-08-11T13:55:19.657563Z,0
125,['00-80-00-00-04-01-9f-d7'],2021-08-12T01:51:09.721951Z,0
126,['00-80-00-00-04-01-9f-d7'],2021-09-05T19:09:45.343144Z,0
127,['00-80-00-00-04-01-9f-d7'],2021-08-31T09:07:13.247280Z,1
128,['00-80-00-00-04-01-9f-d7'],2021-06-13T08:29:51.671676Z,0
129,['00-80-00-00-04-01-9f-d7'],2021-06-06T03:30:20.734404Z,0
130,['00-80-00-00-04-01-9f-d7'],2021-08-14T00:22:55.143249Z,0
131,['00-80-00-00-04-01-9f-d7'],2021-06-29T21:27:44.533263Z,0
132,['00-80-00-00-04-01-9f-d7'],2021-06-25T15:15:06.174526Z,0
133,['00-80-00-00-04-01-9f-d7'],2021-07-31T01:46:13.147604Z,0
134,['00-80-00-00-04-01-9f-d7'],2021-08-09T23:44:42.656460Z,0
135,['00-80-00-00-04-01-9f-d7'],2021-08-24T11:20:21.450302Z,0
136,['00-80-00-00-04-01-9f-d7'],2021-06-16T21:12:16.303267Z,0
137,['00-80-00-00-04-01-9f-d7'],2021-08-23T23:24:32.104388Z,0
138,['00-80-00-00-04-01-9f-d7'],2021-07-23T20:46:43.170965Z,0
139,['00-80-00-00-04-01-9f-d7'],2021-08-22T09:13:53.585445Z,0
140,['00-80-00-00-04-01-9f-d7'],2021-07-16T23:40:04.935442Z,0
141,['00-80-00-00-04-01-9f-d7'],2021-08-19T19:11:35.341341Z,1
142,['00-80-00-00-04-01-9f-d7'],2021-07-01T08:03:40.834519Z,1
143,['00-80-00-00-04-01-9f-d7'],2021-07-27T13:03:52.518589Z,0
144,['00-80-00-00-04-01-9f-d7'],2021-09-02T14:48:30.517098Z,0
145,['00-80-00-00-04-01-9f-d7'],2021-08-23T06:42:24.080523Z,1
